StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}"
2018-04-06 13:31:55,2018-04-06 13:32:39,1,,100,44,1,2018-04-06 13:32:39,R_6DUnpJtEzlOHFbH,,,,,40.356292724609,-111.73249816895,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-06 13:41:58,2018-04-06 13:44:07,0,128.187.83.255,100,129,1,2018-04-06 13:44:08,R_1OHQNhXLlPTOaLe,,,,,40.356292724609,-111.73249816895,anonymous,EN,2,,2,,,,,4,,,,,5,6,,6,4,3,3,,,,,5
2018-04-06 13:41:23,2018-04-06 13:44:15,0,128.187.83.18,100,171,1,2018-04-06 13:44:15,R_2dfKyf5pcqOoNRq,,,,,40.356292724609,-111.73249816895,anonymous,EN,,3,1,6,6,,3,,6,,,,,,,,6,3,,,3,3,,
2018-04-06 13:40:56,2018-04-06 13:44:18,0,128.187.116.23,100,202,1,2018-04-06 13:44:19,R_2cdcVj894B85yGK,,,,,40.356292724609,-111.73249816895,anonymous,EN,,,1,2,,,,4,,,,4,3,,6,5,3,2,2,,,,,
2018-04-06 13:42:00,2018-04-06 13:44:31,0,130.126.255.139,100,151,1,2018-04-06 13:44:32,R_2uIYvXqHLPQBIyS,,,,,40.109497070312,-88.212303161621,anonymous,EN,2,3,1,,,3,3,,,5,2,,,,3,,,,1,,,2,,
2018-04-06 13:40:33,2018-04-06 13:44:48,0,128.187.83.18,100,255,1,2018-04-06 13:44:48,R_1DHjpwtEXuPjDdP,,,,,40.356292724609,-111.73249816895,anonymous,EN,2,5,,3,,,5,,,,,6,,,5,,6,5,,,,,6,5
2018-04-06 13:41:46,2018-04-06 13:44:56,0,128.187.116.17,100,189,1,2018-04-06 13:44:56,R_3EybIo3wj7tzqa9,,,,,40.356292724609,-111.73249816895,anonymous,EN,,,,1,4,,2,,,,,5,3,6,,2,,1,,5,,1,,
2018-04-06 13:43:22,2018-04-06 13:45:23,0,128.187.83.18,100,121,1,2018-04-06 13:45:24,R_1gtP1Tneho2jtIl,,,,,40.356292724609,-111.73249816895,anonymous,EN,,,,,,5,5,,5,,7,5,,6,3,,5,,,,,2,2,
2018-04-06 13:40:32,2018-04-06 13:47:46,0,128.187.116.24,100,433,1,2018-04-06 13:47:46,R_10BBS6p3ezRFWil,,,,,40.356292724609,-111.73249816895,anonymous,EN,3,2,1,,,6,,,,,3,,6,6,6,,6,2,,,,,,
2018-04-06 13:54:15,2018-04-06 13:56:22,0,128.187.81.130,100,127,1,2018-04-06 13:56:23,R_2TN9b7J4BGrNA7j,,,,,40.356292724609,-111.73249816895,anonymous,EN,1,3,1,4,1,,,,,,,,4,,4,6,,,1,,,2,,
2018-04-06 13:53:41,2018-04-06 13:57:59,0,128.187.83.10,100,258,1,2018-04-06 13:57:59,R_2YAh0vP34SDwtP3,,,,,40.356292724609,-111.73249816895,anonymous,EN,,,1,2,,,1,,6,3,,,,5,2,5,,,,,,1,,1
2018-04-06 13:55:31,2018-04-06 13:58:17,0,128.187.116.13,100,166,1,2018-04-06 13:58:17,R_3gZ43Trgi9U79qz,,,,,40.356292724609,-111.73249816895,anonymous,EN,4,3,,,,,,,,,6,,,,3,3,4,,,3,,2,5,3
2018-04-06 13:55:51,2018-04-06 13:58:44,0,97.75.177.109,100,172,1,2018-04-06 13:58:45,R_33w3gaMoclTXYmo,,,,,40.21809387207,-111.61329650879,anonymous,EN,1,2,,,1,2,2,,,5,,,,,6,,,,,,4,,1,1
